,id,response,knowledge,Q2_no_nli,Q2
56,56,"i ' ve never been to seattle , but i know it ' s on the east coast .",Seattle () is a seaport city on the west coast of the United States.,0.14285714285714285,0.0
57,57,the dominant wavelength is 5 . 7 million nm .,It is evoked by light with a dominant wavelength of roughly 570590 nm.,0.0,0.0
58,58,"i don ' t know the name of the drummer , but i do know that they had the longest lasting drummer of all time .","Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined in 1990.",0.5,0.5
59,59,"french cuisine has been around for a long time , in fact , in the 15th century , a chef from france wrote a book about it .","In the 14th century Guillaume Tirel, a court chef known as ""Taillevent"", wrote ""Le Viandier"", one of the earliest recipe collections of medieval France.",0.1,0.0
60,60,in that time italian cuisine was influenced by french cuisine,"During that time, French cuisine was heavily influenced by Italian cuisine.",0.0,0.0
61,61,"i ' m not sure about hawaii , but i know that surfing began in ancient greece .",The history of surfing began with the ancient Polynesians.,0.0,0.0
62,62,european music is generally distinguished from european classical music .,"The major time divisions of Western art music are as follows:  European art music is largely distinguished from many other non-European classical and some popular musical forms by its system of staff notation, in use since about the 11th century.",0.3333333333333333,0.3333333333333333
63,63,they really do . they also have a poorer sense of smells than humans,"Like most other mammals, cats have poorer color vision and a better sense of smell than humans.",0.0,0.5
64,64,"there are actually three types of acoustic guitars : classical , nylon , and steel .","There are three main types of modern acoustic guitar: the classical guitar (nylon-string guitar), the steel-string acoustic guitar, and the archtop guitar, which is sometimes called a ""jazz guitar"".",0.35,0.75
65,65,i think the taste was the main reason . coors itself was turned into a beer production plant .,The brewery itself was converted into a malted milk and near beer production facility.,0.0,0.0
66,66,boy scouts is the largest youth organization in the us .,"The Boy Scouts of America (BSA), one of the largest private youth organizations in the United States, has policies which prohibit those who are not willing to subscribe to the BSA's Declaration of Religious Principle and, until January 2014, prohibited all ""known or avowed homosexuals"", from membership in its Scouting program.",0.0,0.0
67,67,"well , it ' s about scarlett o hara , a strong willed daughter and a plantation owner","Set in the American South against the backdrop of the American Civil War and the Reconstruction era, the film tells the story of Scarlett O'Hara, the strong-willed daughter of a Georgia plantation owner, from her romantic pursuit of Ashley Wilkes, who is married to his cousin, Melanie Hamilton, to her marriage to Rhett Butler.",1.0,1.0
68,68,i remember watching it when it first came out in the 20 ' s,"It followed the interstellar adventures of Captain James T. Kirk (William Shatner) and his crew aboard the starship USS ""Enterprise"", a space exploration vessel, built by the United Federation of Planets in the twenty-third century.",0.5,0.5
69,69,"i ' m not sure , but i do know that it ' s been around since the 3gs !","An iPhone can shoot video (though this was not a standard feature until the iPhone 3GS), take photos, play music, send and receive email, browse the web, send and receive text messages, follow GPS navigation, record notes, perform mathematical calculations, and receive visual voicemail.",0.0,0.0
70,70,"i know , right ? it ' s hard to remember most of their songs . they were actually a producer and producer of george martin ' s recordings .","Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.",0.3333333333333333,0.3333333333333333
71,71,i like diet coke better too . i think it was first made in 1893 .,"The drink Pepsi was first introduced as ""Brad's Drink"" in New Bern, North Carolina, United States, in 1893 by Caleb Bradham, who made it at his drugstore where the drink was sold.",0.0,0.0
72,72,they are one of the most popular bands of all time . their first album was called undertow .,"The band emerged with a heavy metal sound on their first studio album, ""Undertow"" (1993), and later became a dominant act in the alternative metal movement, with the release of their second album, ""Ænima"" in 1996.",0.0,0.0
73,73,"i ' m not sure about that , but i do know that there are about 2 - 3 million people in florida !",About two-thirds of Florida occupies a peninsula between the Gulf of Mexico and the Atlantic Ocean.,0.0,0.0
74,74,wow that ' s a lot of karate schools . they started appearing in the us and europe .,"Karate schools began appearing across the world, catering to those with casual interest as well as those seeking a deeper study of the art.",0.0,0.0
75,75,"they are very similar to a llama , and often confuse them .","Alpacas are similar to llamas, and are often confused with them.",0.0,0.0
76,76,that ' s good to hear . i ' ve heard that nutrition is a big part of their popularity .,"Due to the popularity of both commercial and homemade dog foods, nutrition is also a heavily studied subject.",1.0,1.0
77,77,the first championship was held in 1935 in fiba .,"The first championships was held three years after the establishment of FIBA, in 1935.",0.5416666666666666,0.75
78,78,"i ' m not sure , but i do know that they can be seen in close darkness .",They can see in near darkness.,1.0,1.0
79,79,"there are five boroughs of manhattan , brooklyn , manhattan","The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.",0.3333333333333333,0.3333333333333333
80,80,they moved to memphis in the 2000 - 01 season .,"Following the 2000–01 season, the team relocated to Memphis, Tennessee, United States, and are known as the Memphis Grizzlies.",0.16666666666666666,0.5
81,81,"yeah , they achieved success with their first album release .","The band achieved commercial success with the release of five studio albums, three of which debuted at number one on the ""Billboard"" 200.",0.1111111111111111,0.0
82,82,yes it is a tropical island . it has a long stretch of beach and dunes .,"Long stretches of beach, sand dunes, marshes, and maritime forests create a unique environment where wind and waves shape the topography.",0.5555555555555555,0.6666666666666666
83,83,ethical vegans are those who don ' t follow the ethical diet,"The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.",0.0,0.0
84,84,i think oceanic dolphins are the biggest known dolphins .,"Oceanic dolphins range in size from the -long and Maui's dolphin to the and killer whale, the largest known dolphin.",0.0,0.0
85,85,"i ' m not sure , but they were originally from england .",Frenchies were the result in the 1800s of a cross between bulldog ancestors imported from England and local ratters in Paris (France).,1.0,1.0
86,86,"i ' m not sure , but astronomically sunrise occurs only once in a while .","Astronomically, sunrise occurs for only an instant: the moment at which the upper limb of the Sun appears tangent to the horizon.",0.0,0.0
87,87,it ' s a quarter step or half tone .,"A semitone, also called a half step or a half tone, is the smallest musical interval commonly used in Western tonal music, and it is considered the most dissonant when sounded harmonically.",0.0,0.0
88,88,"yes , they are bed bugs - they are dead skin cells .","Dust mites are microscopic arachnids whose primary food is dead human skin cells, but they do not live on living people.",0.0,0.0
89,89,no i don ' t have a favorite song but i do like their first album called love me me do .,"Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.",0.0,0.0
90,90,it ' s set in an airstrip in a country called great britain .,"The novel is set in Airstrip One, formerly Great Britain, a province of the superstate Oceania, whose residents are victims of perpetual war, omnipresent government surveillance and public manipulation.",0.0,0.3333333333333333
91,91,the catholic school is a parody of the school .,Catholic schools are parochial schools or education ministries of the Catholic Church.,0.0,0.0
92,92,parrots are the most common type of bird . they are found all over the world .,"Parrots, also known as psittacines , are birds of the roughly 393 species in 92 genera that make up the order Psittaciformes, found in most tropical and subtropical regions.",0.0,0.0
93,93,i didn ' t know that . i know that tolkien has adapted orcs into other games like dungeons and dragons and warhammer .,"Tolkien's concept of orcs has subsequently been adapted and imported into other works of fantasy fiction as well as role-playing and strategy games (such as ""Dungeons & Dragons"", ""Warhammer"", and ""Warcraft""), broadening the recognition of the creatures in popular culture.",0.07142857142857142,0.25
94,94,"i ' m not sure , but they share the bulk with chile and bolivia .","Sharing the bulk of the Southern Cone with its neighbor Chile to the west, the country is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south.",0.2,0.5
95,95,"it is divided into two provinces , provincia and buenos aires .","It is subdivided into twenty-three provinces (, singular ""provincia"") and one autonomous city (""ciudad autónoma""), Buenos Aires, which is the federal capital of the nation () as decided by Congress.",0.0,0.0
96,96,i like the original xbox . it was first offered by atari jaguar .,That original device was the first video game console offered by an American company after the Atari Jaguar stopped sales in 1996.,0.0,0.0
97,97,"their third single , human clay , was released in april of 2000 .","It was released on April 24, 2000 as the third single from their second studio album, ""Human Clay"".",0.6666666666666666,1.0
98,98,"yes , i love pit bulls . they are the most common breed of dogs .",Pit bull is the common name for a type of dog.,0.0,0.5
99,99,it ' s a tv series based on the novels,The Chronicles of Thomas Covenant is a series of ten high fantasy novels written by American author Stephen R. Donaldson.,0.0,0.0
100,100,do you like gossip ? gossip is gossip about personal affairs .,"Gossip is idle talk or rumor, especially about the personal or private affairs of others; the act is also known as dishing or tattling.",0.3409090909090909,0.5909090909090909
101,101,he wrote two novels called jill and a girl .,"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",0.6666666666666666,0.75
102,102,yeah he did ! he won mr universe title seven times !,"He won the Mr. Universe title at age 20 and went on to win the Mr. Olympia contest seven times, remaining a prominent presence in bodybuilding and writing many books and articles on the sport.",0.6666666666666666,0.5
103,103,well it is home to about 2 - 3 % of its population,Reykjavík and the surrounding areas in the southwest of the country are home to over two-thirds of the population.,0.0,0.0
104,104,i ' m not sure about that but i do know that they are reliant on vulnerable species !,The giant panda is a conservation reliant vulnerable species.,0.0,0.0
105,105,"purple haze , purple haze and wind cry mary !","Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".",0.6666666666666666,1.0
106,106,"i ' m not sure , but i do know that purple haze was his most popular hit .","Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".",0.0,0.0
107,107,star wars is one of my favorite movies . it was retitled in 1977,Star Wars (later retitled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas.,0.3333333333333333,0.3333333333333333
108,108,"well , if you ' re interested in the history of the city , you might want to check out the museum of history , which is a museum about human occupation .","The oldest traces of human occupation in Paris, discovered in 2008 near the Rue Henri-Farman in the 15th arrondissement, are human bones and evidence of an encampment of hunter-gatherers dating from about 8000 BC, during the Mesolithic period.",0.0,0.0
109,109,that ' s funny . the first animated series was in 1966 .,"It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.",0.5,1.0
110,110,"yes , it is a bit of a catch - up , but it is worth it . khal is a very powerful khal .","Drogo is a powerful ""khal"", or warlord, of the Dothraki people, a tribal nation of horse riders in the steppes beyond the Free Cities.",0.0,0.0
111,111,"i ' m not sure , but i do know that race horses have been around since the early 1800 ' s .",It is one of the most ancient of all sports and its basic premise – to identify which of two or more horses is the fastest over a set course or distance – has remained unchanged since the earliest times.,0.0,0.0
112,112,"i love women too . my favorite song is "" x factor . ""","The group signed with Simon Cowell's record label Syco Records after forming and finishing third in the seventh series of the British televised singing competition ""The X Factor"" in 2010.",0.0,0.0
113,113,"i ' m not sure if it ' s a desert , but i do know that it ranks in the top 5 most visited places in the world .","Today, Las Vegas annually ranks as one of the world's most visited tourist destinations.",0.0,0.0
114,114,"i love shellfish , but most kinds aren ' t harvested","Although most kinds of shellfish are harvested from saltwater environments, some kinds are found in freshwater.",0.0,0.0
115,115,"yea i remember seeing it when it came out in 1997 , james cameron was inspired by shipwreck movies .",Cameron's inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster.,0.0,0.0
116,116,its a team based online first person shooter game . you play as tracer and genji .,Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,0.11111111111111112,0.11111111111111112
117,117,sort of . overwatch can be played either as a team of six or as a hero .,"""Overwatch"" assigns players into two teams of six, with each player selecting from a roster of over 20 characters, known in-game as ""heroes"", each with a unique style of play, whose roles are divided into four general categories: Offense, Defense, Tank, and Support.",0.6666666666666666,0.6666666666666666
118,118,"yes it can be very dangerous , especially for hydroelectric plants","It provides suitable conditions for many types of ecosystems, as well as water for hydroelectric power plants and crop irrigation.",0.0,0.0
119,119,it is very popular in italy and copied from other countries,"It offers an abundance of taste, and is one of the most popular and copied in the world.",0.0,0.0
120,120,that makes sense . they were originally marketed to be affordable but now they are intended to be used for a single user .,"They were marketed to consumers as affordable and accessible computers that, for the first time, were intended for the use of a single nontechnical user.",0.0,0.0
121,121,"i ' m not sure who it was founded by , but it was started by richard maurice mcdonald .","McDonald's is a fast food company that was founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States.",0.8571428571428571,1.0
122,122,you should avoid fats instead of carbs .,The diet forces the body to burn fats rather than carbohydrates.,0.0,0.0
123,123,there are a lot of species that eat animals like carrion and lories .,"A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.",0.0,0.0
124,124,i agree . i think their most popular song is jenny .,"Despite not being a single, ""Jenny Was a Friend of Mine"" is one of The Killers' most popular and critically acclaimed songs.",0.0,0.0
125,125,that makes sense . honda is also the 8th largest auto manufacturer in japan .,"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",0.0,0.0
126,126,"yes , they do . they are headquartered in brazil , argentina , and brazil .","It has wholly owned operations in Argentina, Chile, Brazil, and Canada.",0.0,0.0
127,127,"i ' m not sure if you ' ve ever seen the 1974 movie , the godfather , or the 2006 movie .","The game is based on the 1974 film ""The Godfather Part II"", and is a sequel to the 2006 game ""The Godfather"", which was based on the 1972 film of the same name.",0.16666666666666666,0.3333333333333333
128,128,"interestingly , the philippines called themselves dentists","Among the early Filipino to act as ""dental practitioners"" and ""curers of toothaches"" were barbers.",0.0,0.0
129,129,not really . they range from 15 to 50 employees .,"Small businesses range from fifteen employees under the Australian ""Fair Work Act 2009"", fifty employees according to the definition used by the European Union, and fewer than five thousand employees, to qualify for many U.S. Small Business Administration programs.",0.0,1.0
130,130,"well , back in the day , georgia was the first state to have a cotton plantation .",The history of Georgia in the United States of America spans pre-Columbian time to the present-day U.S. state of Georgia.,0.0,0.0
131,131,well historically the stars have been grouped together to form proper names,"Historically, the most prominent stars were grouped into constellations and asterisms, the brightest of which gained proper names.",0.0476190476190476,0.0476190476190476
132,132,most stars are invisible but most are visible from earth,"Indeed, most are invisible from Earth even through the most powerful telescopes.",0.0434782608695652,0.0434782608695652
133,133,"she did an interview with elvis presley , and she said that she was on a tour of st . john ' s garden at four years old .","In an interview she recounted her performance of Elvis Presley's ""Can't Help Falling in Love With You"" at age four while on a trip to St. Tropez to an audience at the Hotel Byblos.",0.0,0.0
134,134,"yes , he is . he is writing a sixth novel called "" the winter ' s watch "" .","He is still writing the sixth novel, ""The Winds of Winter"".",0.4444444444444444,0.3333333333333333
135,135,their most famous song is called soad which is a heavy metal song,"System of a Down, sometimes shortened to System and abbreviated as SOAD, is an heavy metal band from Glendale, California, formed in 1994.",0.0,0.0
136,136,i like that the main character is played by scarlett scarlett .,"The leading roles are played by Vivien Leigh (Scarlett), Clark Gable (Rhett), Leslie Howard (Ashley), and Olivia de Havilland (Melanie).",0.0,0.0
137,137,"i ' m glad too . in the us , it ' s a lot harder to get a divorce than it is in other countries .","Divorce laws vary considerably around the world, but in most countries divorce requires the sanction of a court or other authority in a legal process, which may involve issues of alimony (spousal support), child custody, child visitation / access, parenting time, child support, distribution of property, and division of debt.",0.0,0.0
138,138,do you know that protein and fat form milk ?,"It comprises proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep.",0.0,0.0
139,139,"yes , it is mostly sampling . it has also increased globally .","Subsequently, in the new millennium, the popularity of EDM increased globally, including the United States.",0.5,0.5
140,140,that is a good choice . the series is based on fantasy novels .,Mistborn is a series of epic fantasy novels written by American author Brandon Sanderson and published by Tor Books.,0.0,0.0
141,141,i am not sure but i do know that there are over 387 different languages on the show,", there have been 387 seasons of ""Big Brother"" in over 54 franchise countries and regions.",0.0476190476190476,0.0476190476190476
142,142,i love t bone steak ! it ' s the most popular steak in the us !,The top sirloin is the most prized of these and is specifically marked for sale under that name.,0.0,0.0
143,143,"colorado is located in wyoming , nebraska , kansas , and new mexico .","Colorado is bordered by Wyoming to the north, Nebraska to the northeast, Kansas to the east, Oklahoma to the southeast, New Mexico to the south, Utah to the west, and touches Arizona to the southwest at the Four Corners.",0.0,0.0
144,144,yes they are ! they are usually depicted as white horses with long hooves and horns .,"In European folklore, the unicorn is often depicted as a white horse-like or goat-like animal with a long horn and cloven hooves (sometimes a goat's beard).",0.0,0.0
145,145,coffee is very acidic . it has stimulating effects on humans,Coffee is slightly acidic and has a stimulating effect on humans because of its caffeine content.,0.5,0.5
146,146,"i ' m not a big fan of their music , either . it started in 1963 when they broke up .","The phenomenon began in 1963 and continued past the group's break-up in 1970, despite the band ceasing public performances in 1966.",0.0,0.0
147,147,that ' s great ! do you use msn or dial up ?,MSN Dial-up is an Internet service provider operated by Microsoft in the United States and formerly also in several other countries.,0.0,0.0
148,148,i love tyrion too . it ' s an adaptation by george r r martin,"It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".",0.0,0.0
149,149,have you ever read the title of the game of thrones ?,"The title is a play on ""Gray's Anatomy"", a classic human anatomy textbook first published in 1858 in London and written by Henry Gray.",0.0,0.0
